ISO3_code,Location,Time,n_male_dependent,n_male_working,n_female_dependent,n_female_working,n_total_dependent,n_total_working,r_male_dependent,r_male_working,r_female_dependent,r_female_working,r_total_dependent,r_total_working,time_period
AUS,Australia,2096,8295357,10522697,8603736,10234971,16899093,20757668,0.7883299310053307,1.268504417591672,0.8406214341007905,1.1895961242883322,0.8141132712981053,1.228330301513815,projected
AUS,Australia,2097,8325032.999999999,10541185,8634821,10251999,16959854,20793184,0.7897625361854478,1.2662033892238025,0.8422573002591982,1.187285642632314,0.8156448767057511,1.2260237617611567,projected
AUS,Australia,2098,8353807.000000001,10560094,8665404,10269420,17019211,20829514,0.7910731665835552,1.264105574859462,0.8438065635644467,1.1851057377128638,0.8170719201609793,1.2238824702273214,projected
AUS,Australia,2099,8382125,10578890,8696086,10286725,17078211,20865614.999999996,0.7923444709227528,1.262077337190748,0.8453697362377237,1.1829143594026095,0.8184858677781605,1.2217681934015219,projected
AUS,Australia,2100,8411418,10597558,8728114,10303942,17139532,20901500,0.7937128534705826,1.2599014815337912,0.8470655211374444,1.1805462210965623,0.8200144487237758,1.219490707214176,projected
AUS,Australia,2101,8439582,10617090,8759170,10321927,17198752,20939017,0.7949053836785787,1.2580113564866127,0.848598328587288,1.1784138223142147,0.8213734197741948,1.2174730468815411,NA
IND,India,1950,74254982,109182113,72180040,101403964,146435024,210586082,0.6801020786252782,1.4703675101557494,0.7118068875492874,1.4048754198529125,0.6953689560547501,1.4380854815170447,observed
IND,India,1951,76356195,111263057,73901755,103401348,150257957,214664399,0.686267275579171,1.4571582174832047,0.7147078488763996,1.3991731048876985,0.6999668212333615,1.4286391435496493,observed
IND,India,1952,78584440,113303038,75752882,105356826,154337325,218659867,0.6935775190776439,1.441799903390544,0.7190125678235599,1.3907962735992012,0.7058328861052495,1.4167659508158508,observed
IND,India,1953,80953961,115276325,77746180.00000001,107251240,158700142,222527568,0.7022600781209845,1.4239738683076917,0.7248977261241921,1.379504948024456,0.7131707025171821,1.4021888398814413,observed
IND,India,1954,83474786,117231294,79892732,109132596,163367518,226363890,0.7120520737406516,1.404391668641115,0.732070297310622,1.3659890363994562,0.7217030861238513,1.3856113673710828,observed
IND,India,1955,86135501,119214572,82185385,111042534,168320877,230257111,0.7225249359616877,1.3840352771617361,0.7401252658733454,1.3511226357338353,0.7310127199502646,1.3679652524624144,observed
IND,India,1956,88885068,121222668,84571053,112977809,173456124,234200474.00000003,0.7332380112274051,1.3638136385292523,0.748563401508344,1.3358921876022993,0.7406309690047852,1.3502000886402834,observed
IND,India,1957,91700972.00000001,123264324,87016045,114954055,178717025,238218379,0.7439376538502739,1.3441986634558245,0.7569636843171822,1.3210673387879213,0.7502234955599291,1.3329361262588162,observed
IND,India,1958,94572012,125291702,89513417,116918636,184085426,242210341,0.7548146484593209,1.3248285549851684,0.7656043558359679,1.3061576679616642,0.760022983494334,1.3157496835192157,observed
IND,India,1959,97517011,127368426,92100318,118914601,189617327,246283024,0.7656293954672879,1.3061149505494996,0.7745080690301438,1.2911421326471424,0.7699163503855628,1.2988423995661538,observed
IND,India,1960,100573638,129561941,94808451,121010554,195382086,250572487,0.7762591176370227,1.2882296352847453,0.7834725804164155,1.2763688545022216,0.7797427735950915,1.2824742131169589,observed
IND,India,1961,103740241,131820337,97628473,123162823,201368718,254983165,0.7869820648387509,1.2706769883058207,0.7926781038463205,1.2615461372626406,0.7897333849471984,1.266250128284573,observed
IND,India,1962,107011454,134114417.00000001,100551281,125347049,207562732.00000003,259461463,0.7979116368973217,1.2532716077290196,0.8021830733326638,1.2465982308072237,0.7999751855249503,1.2500387738199552,observed
IND,India,1963,110338600,136474696,103561884,127558448,213900476.99999997,264033142.99999997,0.8084912678611134,1.2368717384487387,0.8118778930267324,1.2317123160872585,0.8101273748046093,1.23437379244367,observed
IND,India,1964,113402700,139210228,106417162,130029222,219819857,269239450,0.8146147135108491,1.2275741935597655,0.8184095879616968,1.2218820682325657,0.8164474299735792,1.2248186022612144,observed
IND,India,1965,116069644,142303846,108949260,132791603,225018904,275095443,0.8156465707890987,1.2260212153317191,0.8204529318017194,1.2188389622839109,0.8179666720251707,1.2225436979285969,observed
IND,India,1966,118562308,145479304,111301775,135649237,229864072,281128543,0.8149771461650656,1.2270282727627064,0.8205116185061918,1.2187517854050396,0.817647576966242,1.223020807705869,observed
IND,India,1967,120977424,148793556,113569085,138647008,234546503,287440563,0.8130555331307492,1.2299282881077052,0.8191239510916817,1.220816457225133,0.8159826175959722,1.2255163019846858,observed
IND,India,1968,123430748,152305736,115869389,141826041,239300140,294131777,0.8104143103316871,1.2339367496987055,0.8169824679799107,1.2240164742734598,0.8135813900855738,1.2291333260398427,observed
IND,India,1969,125936317,155997889,118223975,145156488,244160294.99999997,301154384,0.8072950076907771,1.2387045509676133,0.8144587722458537,1.2278092324336076,0.8107479351852968,1.2334289815631163,observed
IND,India,1970,128439136,159853266,120582686,148626210,249021820,308479483,0.8034814628060211,1.2445837848052794,0.8113150836585283,1.2325667550646533,0.8072556968075573,1.2387648720903253,observed
IND,India,1971,131004953.00000001,163813992,123004730,152175507,254009684,315989497,0.7997177249669858,1.2504412104174412,0.8083083304595133,1.2371516688829773,0.8038548319218345,1.2440057088532104,observed
IND,India,1972,133648610.00000001,167880760,125504273,155804327,259152881,323685088,0.7960924765887407,1.2561354734628365,0.8055249518198555,1.2414264731847018,0.8006327464798131,1.249012114976256,observed
IND,India,1973,136378605,172086856,128088331,159553693,264466938.00000003,331640549,0.7924986728794674,1.2618317660603728,0.8027913901059,1.2456536185173652,0.7974505493898456,1.2539962518868804,observed
IND,India,1974,139207193,176376870.99999997,130762483,163375410,269969677,339752277,0.789259908120266,1.2670097514285772,0.8003804428096002,1.2494058406645583,0.7946074103868331,1.2584831036413024,observed
IND,India,1975,142044795,180756162,133440095,167283174,275484887,348039338,0.785836529323963,1.2725292890879951,0.7976898800353943,1.2536200157831123,0.7915337633471766,1.263369986608376,observed
IND,India,1976,144872118,185205455,136104278,171269589,280976400,356475044,0.7822238173276268,1.2784064839861042,0.7946786046178927,1.258370357763479,0.7882077714253681,1.2687010154589495,observed
IND,India,1977,147680624,189815701,138750673,175438635,286431299,365254333,0.7780211184953557,1.2853121544231827,0.7908786625021336,1.2644164616051987,0.7841968544148661,1.275190016856363,observed
IND,India,1978,150443201,194626412,141357558,179840593,291800755,374467006,0.7729845063371974,1.2936869908797008,0.7860158579437069,1.2722389629849151,0.7792428981046197,1.2832969057945034,observed
IND,India,1979,153275042,199551287,144027763,184394287,297302806,383945573,0.7680984888862179,1.3019163746175977,0.7810858207336977,1.2802690478501704,0.7743358093101389,1.291429361753148,observed
IND,India,1980,156280220,204595109,146848694,189104366,303128907,393699472,0.7638512023276177,1.3091554964537417,0.7765484060796353,1.2877497296639222,0.7699499962753316,1.2987856417138073,observed
IND,India,1981,159436910,209712940,149801713,193917745,309238621,403630679,0.7602626237560735,1.3153349497302727,0.7725013149260785,1.2944961784248756,0.7661425087065792,1.3052401983127457,observed
IND,India,1982,162631633,214910891,152799913,198827033,315431549,413737920,0.7567398387455385,1.3214581138713648,0.7685067301688298,1.3012247788387157,0.7623945830249256,1.3116567487039794,observed
IND,India,1983,165835486,220266780,155824926,203899343,321660417,424166133.00000006,0.7528846882857234,1.3282246478898974,0.7642247577031183,1.3085155772831876,0.7583359254191093,1.318676811265839,observed
IND,India,1984,169113835,225751667,158931174,209098487,328045004,434850157,0.7491144461847983,1.3349095122820673,0.7600780679010843,1.3156543284579274,0.754386306913533,1.3255807943961249,observed
IND,India,1985,172433054,231333368,162088115,214387547,334521168,445720919,0.7453877297978042,1.341583661796073,0.7560519128473446,1.3226604985812809,0.750517092064059,1.3324146919156996,observed
IND,India,1986,175775199,237036483,165280303,219787003,341055505,456823487,0.7415533540463474,1.3485206351551338,0.7520021691182531,1.3297833983278695,0.7465804948859821,1.3394402972618782,observed
IND,India,1987,179081005,242879520,168440306,225315301,347521311,468194817,0.7373244355884762,1.3562550645725937,0.7475759757656228,1.3376566829556815,0.7422579199547183,1.3472405926783582,observed
IND,India,1988,182283196,248911197,171510037,231025253,353793240,479936443,0.7323222024439503,1.3655191617333722,0.7423865346876171,1.3470071900223541,0.7371668585708961,1.3565449780781567,observed
IND,India,1989,185410887,255140405,174538488,236922888,359949375,492063295,0.7267013901620168,1.3760810334724305,0.7366890108143541,1.3574248907209507,0.7315103131193722,1.3670347253693662,observed
IND,India,1990,188477601.99999997,261506457,177523445,242944658,366001047,504451115,0.7207378516087654,1.3874670211476907,0.7307155730915476,1.3685215380988127,0.7255431420743317,1.3782777921944032,observed
IND,India,1991,191524772,267938720.00000003,180462943,249015322,371987717,516954046,0.7148081173187659,1.398976838359061,0.7247061809313082,1.3798695613647396,0.7195759852898028,1.3897073004698162,observed
IND,India,1992,194611824,274434272,183396403,255131544.99999997,378008228,529565823,0.7091381939351947,1.410162375334399,0.7188307623818136,1.3911480314038656,0.7138078244146809,1.4009372912380096,observed
IND,India,1993,197715796,281020183,186295860,261319462,384011645,542339644,0.7035643984332612,1.421333999029597,0.7129046515486855,1.402712126828798,0.7080648616570616,1.41229999418377,observed
IND,India,1994,200755070,287780334,189080720,267645832,389835789,555426167,0.6975982938431089,1.4334897444931276,0.7064586755828874,1.4155109627253375,0.7018678848092513,1.424769563679029,observed
IND,India,1995,203678487,294753977,191710196,274136467,395388690,568890447,0.6910118366273985,1.4471532135841132,0.6993239465656351,1.429952463248225,0.6950172780806073,1.4388131511804245,observed
IND,India,1996,206433219,301915946,194159006,280773057,400592214,582689002,0.6837440080094346,1.4625356687384699,0.6915158030992979,1.4460985497628682,0.6874888879402601,1.454568964737792,observed
IND,India,1997,209061905,309241715,196472639.99999997,287558975,405534547,596800684,0.6760469071903834,1.4791873010054128,0.6832429417304746,1.4636082408217246,0.6795142128221824,1.471639564162705,observed
IND,India,1998,211596567,316690852,198677676,294469489,410274240,611160331.9999999,0.6681486555854161,1.4966729209741858,0.674696983632148,1.4821468366682524,0.6713037782694313,1.489638569557767,observed
IND,India,1999,213972797,324271559,200742266,301513426,414715062.99999994,625784986,0.6598568115558971,1.5154803019189398,0.6657821797958676,1.5019927392869021,0.6627117496871361,1.5089516678587584,observed
IND,India,2000,216274306,331949275,202741861,308668227,419016164,640617508,0.6515281770083697,1.5348530352005847,0.6568277628393544,1.5224691411903337,0.6540816614709194,1.5288610870868458,observed
IND,India,2001,218546459,339744870,204727309,315952269,423273769,655697139,0.6432663986949972,1.5545658875214263,0.6479691051055563,1.543283456141164,0.6455324323139986,1.5491088440209957,observed
IND,India,2002,220725933,347608937,206672245.99999997,323305914,427398173,670914857,0.6349834814517442,1.5748441167536031,0.6392467228421933,1.5643412226719595,0.6370378723033704,1.5697653836250722,observed
IND,India,2003,222755974,355480265,208498709,330680177,431254679,686160443,0.6266338695342201,1.595828199875798,0.6305146891221121,1.5860058730627442,0.6285041398109276,1.5910794164392126,observed
IND,India,2004,224580855,363409506,210122659,338151562,434703518,701561065,0.6179828851257403,1.6181677908386267,0.6213860369510876,1.6093055532863783,0.6196232084230615,1.6138840288842566,observed
IND,India,2005,226180933,371296738,211546179,345614868,437727115,716911602,0.6091648804089412,1.6415916809397901,0.6120864539890106,1.6337561360538684,0.6105733451360716,1.637804873020032,observed
IND,India,2006,227466210,379145185,212727510,353034883,440193717,732180071,0.5999448733603198,1.6668198102918232,0.6025679621013542,1.6595638382642657,0.6012096401350974,1.6633133157600248,observed
IND,India,2007,228480222,387026062,213706514,360479009,442186746,747505068,0.5903484143142795,1.693914942011917,0.5928403836684981,1.686794671125467,0.5915501645802889,1.6904737076854854,observed
IND,India,2008,229368924,394873094,214602285,367890501,443971212,762763591,0.580867441933129,1.7215631791515051,0.5833319545263279,1.7142897662995527,0.5820561144219586,1.718047410245149,observed
IND,India,2009,230177562,402714841,215466969,375280791,445644520,777995640,0.5715646372218003,1.749583397707549,0.5741486752515399,1.7417091480040265,0.5728110764219707,1.7457762972155475,observed
IND,India,2010,230888984,410677046.00000006,216286222,382761369,447175208,793438408,0.5622154592005124,1.7786775223542066,0.5650680541901814,1.7696983444465546,0.5635915825239455,1.77433451990478,observed
IND,India,2011,231517360,418727032,217066348,390310455,448583709,809037481,0.5529076040163559,1.8086204507515118,0.556137672509951,1.7981159152315955,0.5544659172595243,1.8035373660883438,observed
IND,India,2012,232064555,426774880,217818714,397829068,449883267,824603954,0.5437633887917677,1.839035177086824,0.5475183477543174,1.826422811402697,0.545574957308536,1.8329287050367224,observed
IND,India,2013,232543337,434779548,218528260,405280919,451071600,840060467,0.5348534402542781,1.8696710626458415,0.539201945502892,1.8545927149193426,0.5369513478129189,1.8623661232496127,observed
IND,India,2014,233033415,442515942,219213656,412483493,452247070,854999438,0.5266102141920121,1.8989377210131,0.5314483117994736,1.8816505345816597,0.5289442892008077,1.8905582693990697,observed
IND,India,2015,233520001,450023211,219886746,419436546,453406747,869459759,0.5189065703546566,1.9271291926724514,0.5242431736027123,1.9075117242400774,0.5214810027797963,1.9176153966672225,observed
IND,India,2016,233969651,457653771,220551581,426461344,454521225,884115111,0.5112372405208478,1.9560390377297268,0.517166641485799,1.9336127270835568,0.5140973379426833,1.945156930790196,observed
IND,India,2017,234339835,465248048,221161732,433446062,455501568,898694116,0.5036879488422915,1.9853562156856517,0.5102404921607062,1.9598601352968243,0.5068482811786874,1.9729769975237497,observed
IND,India,2018,234673718,472475511,221775865,440078205,456449589,912553720,0.4966896961565485,2.01332946452913,0.5039464860569498,1.9843376780426492,0.5001892809115939,1.9992431628632708,observed
IND,India,2019,234949402,479375655,222391217,446395774,457340616,925771433,0.4901154231538938,2.040335710239433,0.49819292644110025,2.007254513113258,0.494010292063095,2.024249324490349,observed
IND,India,2020,234945769,486051678,222854911,452534763,457800681,938586446.9999999,0.48337610923750374,2.0687824261266012,0.492459208045416,2.030625041958353,0.4877554778925974,2.0502076251826282,observed
IND,India,2021,234422032,492081402,222896247,458164164,457318275,950245566,0.4763887256198315,2.0991260838486374,0.486498649422961,2.0555041646798116,0.4812632559024222,2.0778648436911906,observed
IND,India,2022,233992673,494821756,222751543,460753845,456744216,955575601,0.47288275053128426,2.114689103961815,0.48345020973183633,2.068465334940463,0.477978106098588,2.0921460360649644,projected
IND,India,2023,233329605,500216961,222663755,465816207,455993360,966033168,0.46645680413063806,2.143821230914954,0.4780077456600818,2.092016309524646,0.4720266085108167,2.1185246381657836,projected
IND,India,2024,233833072,506323426,223707840,471364460,457540912,977687886,0.46182550518608634,2.165319993743229,0.47459632404191016,2.107053825203444,0.46798259296423356,2.13683161518024,projected
IND,India,2025,234290174,512338451,224751098,476831183,459041272,989169634,0.4572957066616888,2.186768835640542,0.4713431210307401,2.1215966784731792,0.4640672906058902,2.1548599098514174,projected
IND,India,2026,234849832,518128999,225937331,482086380,460787163,1000215379,0.4532651761496947,2.2062140500062184,0.46866565904641405,2.1337172474609782,0.4606879404920648,2.1706667618255677,projected
IND,India,2027,235456585,523677790,227183029,487142474,462639614,1010820264,0.4496211019375101,2.2240949005524735,0.46635849084266057,2.144273171038669,0.4576873164070245,2.1848977766093327,projected
IND,India,2028,236206772,528947393.00000006,228571155,491971846,464777927,1020919239,0.44656004571706054,2.239340508831813,0.46460210448709294,2.1523794023790974,0.45525435239642886,2.1965742770740486,projected
IND,India,2029,237043552,533958628,230055222,496587531,467098774.00000006,1030546159,0.4439361770178194,2.2525760498222707,0.4632722483722613,2.158557961357643,0.4532536169493404,2.206270314466721,projected
IND,India,2030,238228395,538448559.9999999,231890005,500729302,470118400,1039177862,0.44243482608626533,2.2602199036768895,0.46310452388903733,2.1593397352335217,0.4523945487976533,2.210459879894086,projected
IND,India,2031,239380582,542819682,233718795,504772840,473099377,1047592522,0.44099466164898565,2.267601145693597,0.4630177705282241,2.159744320092015,0.45160629449395784,2.214318117776765,projected
IND,India,2032,240473029,547046795,235501339,508704718,475974368,1055751513,0.4395840194987341,2.27487796562832,0.4629430997335472,2.1600926778594665,0.45083938989344363,2.218084804516196,projected
IND,India,2033,241832339,550855127,237531132,512271590,479363471,1063126717,0.4390125954114974,2.2778389742159337,0.4636820324156567,2.156650312263068,0.4508996560190859,2.2177883408224903,projected
IND,India,2034,243193221,554462456,239559186,515674619,482752407,1070137075,0.4386107992855696,2.279925623420235,0.4645549289677179,2.152597976351448,0.451112682924288,2.2167410446490017,projected
IND,India,2035,244785266,557651969,241795315,518717579,486580581,1076369548,0.43895705495123966,2.2781271851550087,0.46614058360262356,2.1452755567244965,0.4520571786001512,2.2121095457362694,projected
IND,India,2036,246560867,560464438,244195815,521433270,490756682,1081897708,0.43992241127705595,2.273128111607427,0.4683165211149645,2.135307969958453,0.453607285024399,2.20455013183091,projected
IND,India,2037,248325734,563067697,246585915,523971889,494911649,1087039586,0.4410228740221977,2.2674560865286724,0.47060905399068076,2.1249059947321,0.4552839246831256,2.196431601875671,projected
IND,India,2038,250128870,565457788,249004385,526334964.00000006,499133255,1091792752,0.44234755503977596,2.2606658239810544,0.4730910960344257,2.1137578119357214,0.4571685002356564,2.1873773006769506,projected
IND,India,2039,251935898,567667078,251410870,528551713,503346768,1096218791,0.4438092462356959,2.2532202933620837,0.47565992847326183,2.1023423251349476,0.45916633808186563,2.177859997702419,projected
IND,India,2040,253716880,569671861,253772041,530603378,507488921.00000006,1100275239,0.44537372717449353,2.2453053222158497,0.4782706848881011,2.0908661801715187,0.46123815479228464,2.1680773578897496,projected
IND,India,2041,255420065,571556130,256038909,532573400.99999994,511458974,1104129531,0.4468853566490486,2.2377103772172324,0.4807579734910569,2.080048704628717,0.46322370667577045,2.1587841589030363,projected
IND,India,2042,257204839,573168172,258360804,534314400.99999994,515565643,1107482573,0.44874236143035523,2.228450188684047,0.48353704020790567,2.0680938932207376,0.46552935059141554,2.1480922711523665,projected
IND,India,2043,258899900,574670503,260573960,535978176,519473860,1110648679,0.4505188601963097,2.21966290060367,0.48616524266838806,2.0569138067364827,0.46772113434440954,2.1380261155007876,projected
IND,India,2044,260558032,575970448,262738229,537471809,523296261,1113442257,0.45238090409805193,2.2105265517203474,0.48884094867941247,2.045655141414537,0.4699806008889422,2.127747396612872,projected
IND,India,2045,262285386,576987863,264950079.00000003,538713695,527235464.99999994,1115701558,0.45457695528683933,2.1998475469769407,0.49181983205383345,2.0332648966675713,0.47255958479176025,2.1161352603622747,projected
IND,India,2046,264129697,577716177,267242909.99999997,539700566,531372606.99999994,1117416743,0.45719629727453515,2.187244310510075,0.4951688525744477,2.019513131330594,0.47553664318058275,2.1028873680724005,projected
IND,India,2047,266073382.99999997,578137965,269621050,540405769,535694432.99999994,1118543734,0.4602247198901736,2.172851558774671,0.4989233377336503,2.0043159426906763,0.47892131234271434,2.088025682357614,projected
IND,India,2048,268023913,578368595,272005142,540918273,540029055,1119286868,0.46341366961669145,2.15789922819312,0.502858112911264,1.988632527395383,0.4824760036405609,2.0726419396082307,projected
IND,India,2049,270090494,578334594,274496498,541173815,544586992,1119508409,0.46701424539027314,2.141262305958832,0.5072242787652246,1.9715144599039653,0.48645189944258826,2.055701706881754,projected
IND,India,2050,272234193,578021967,277058234,541160195,549292427,1119182162,0.4709755139807689,2.123252632706575,0.5119708296357607,1.953236282448837,0.49079805383817404,2.037497891810549,projected
IND,India,2051,274413070,577498854,279654417,540940261,554067487,1118439115,0.47517509013100134,2.1044874210984195,0.5169783748080087,1.9343168858298416,0.4953935172412134,2.0185972670148753,projected
IND,India,2052,276755019,576637006,282399064,540389575,559154083,1117026581,0.4799466841710121,2.083564764547233,0.52258421898683,1.9135671604067355,0.500573659133005,1.9977079931293287,projected
IND,India,2053,279062037,575666627,285090367,539746059,564152404,1115412686,0.48476327080881837,2.0628625562566216,0.5281935129423521,1.8932455160787665,0.505779081662695,1.9771478027770666,projected
IND,India,2054,281366526,574514061,287782441,538918219,569148967,1113432280,0.4897469794042169,2.0418706843613657,0.534000207923941,1.8726584468716772,0.5111662174910179,1.9563108158992761,projected
IND,India,2055,283734333,573168407,290543004,537883082,574277337,1111051489,0.4950278653442948,2.0200883021090017,0.5401601458065565,1.8513028178093733,0.5168773388863169,1.93469499389282,projected
IND,India,2056,286098322,571689676,293273099,536736780.99999994,579371421,1108426457,0.5004433943984673,1.9982279938013758,0.5464002270416418,1.8301602936994912,0.5226972140019931,1.9131534915665092,projected
IND,India,2057,288572056,569965897,296064335,535388584.99999994,584636391,1105354482,0.5062970565763516,1.9751250516092937,0.5529896290187062,1.8083521779143035,0.5289130324438309,1.8906699942323641,projected
IND,India,2058,291107580,568043273,298874316,533869391.00000006,589981896,1101912664,0.5124743022878822,1.9513173549105112,0.5598266561792825,1.786267211398654,0.5354162042736991,1.867705893131338,projected
IND,India,2059,293700383,565923105,301690078,532200520.99999994,595390461,1098123626,0.5189757767532746,1.9268722063600443,0.5668729474994257,1.7640637190593984,0.5421889183540798,1.8443755786003428,projected
IND,India,2060,296372126,563562891,304506071,530345346,600878197,1093908237,0.5258900661008924,1.9015381055099627,0.5741656324443356,1.741657709018222,0.5492948829491262,1.820515775845333,projected
IND,India,2061,299097952,561019208,307315793,528351606,606413745,1089370814,0.5331331757182902,1.8757039433021594,0.5816501540074811,1.7192465146104614,0.5566642113105116,1.7964151092914293,projected
IND,India,2062,301815985,558325986,310097932,526218564.99999994,611913917,1084544551,0.5405730569022806,1.849888719446056,0.589294929189737,1.69694316116884,0.5642127992213757,1.7723809197168496,projected
IND,India,2063,304585032,555486854,312887113,523952363,617472145,1079439217,0.5483208644934017,1.8237496778896214,0.5971670997120783,1.6745731646672197,0.5720304907172925,1.7481585618732647,projected
IND,India,2064,307306126,552539839,315613889,521582157,622920015,1074121996,0.5561700791678118,1.7980111434550448,0.6051086770592883,1.652595703733431,0.5799341390640324,1.72433373488569,projected
IND,India,2065,310026944,549457946,318324146,519071706,628351090,1068529652,0.5642414424196898,1.7722909464281915,0.6132565931073886,1.630638808028091,0.5880520852405882,1.7005296386133428,projected
IND,India,2066,312806601,546166015,321055175,516359854,633861776,1062525869,0.5727317196768459,1.7460181890471038,0.6217663370088411,1.6083212301436973,0.596561264523904,1.6762737701350208,projected
IND,India,2067,315630688,542676839,323822996,513429125,639453684,1056105963.9999999,0.5816181294591789,1.7193411782570394,0.6307063238767375,1.5855239786614785,0.6054825044052115,1.651575384465218,projected
IND,India,2068,318313870,539187086,326462099,510471301,644775969,1049658387.0000001,0.5903588536614173,1.6938849884235332,0.6395307598301202,1.563646446444002,0.6142722022569805,1.627942785504154,projected
IND,India,2069,320863147,535682363,328938673,507506758,649801820,1043189121,0.598980233739747,1.669504173378939,0.6481463898063009,1.5428613284397847,0.6228993448255102,1.6053958128341348,projected
IND,India,2070,323257715,532205226,331233539,504570643,654491254,1036775869,0.6073929740028521,1.646380585224393,0.6564661333259534,1.5233078284382306,0.6312755471742176,1.5840943063236106,projected
IND,India,2071,325374209,528837841.99999994,333250317,501732074,658624526,1030569916,0.6152627197960618,1.6253219443093598,0.6641997477721545,1.5055711829975544,0.6390876696229895,1.5647305487679335,projected
IND,India,2072,327237075,525570529,335000841,498977694,662237916,1024548223,0.6226320863588606,1.6060849125973882,0.6713743821181714,1.4894819144648057,0.6463706647803146,1.5470999141643833,projected
IND,India,2073,328951616,522299338,336578499,496214607,665530115,1018513945,0.6298143460407756,1.5877694852242343,0.6782922031152541,1.4742908666902101,0.6534325016040895,1.53037995132647,projected
IND,India,2074,330600658,519005112,338053826,493425363,668654484,1012430475,0.6369892133162649,1.5698852964775407,0.6851164357353879,1.4596059119887022,0.6604448409161133,1.5141309887633982,projected
IND,India,2075,332200348,515612366,339460333,490540496,671660681,1006152862,0.644283127996197,1.5521126606405602,0.6920128628891018,1.4450598444443286,0.6675533175594147,1.4980076852228306,projected
IND,India,2076,333645538,512245249,340682161,487683226,674327699,999928475,0.6513394485382528,1.535297765618553,0.6985726447765911,1.431490350326855,0.6743759337386607,1.4828524417473172,projected
IND,India,2077,334934735,508902366.99999994,341739177,484824304,676673912,993726671,0.6581512618509789,1.5194075556242324,0.7048722066540625,1.4186968794625499,0.6809457084603097,1.468545858466611,projected
IND,India,2078,336011926,505664582,342594143,482032945,678606069,987697527,0.664495671559611,1.5049006980781987,0.710727651613107,1.4070087152657482,0.6870585887373595,1.4554799494432462,projected
IND,India,2079,336906396,502466071,343269105,479255673,680175501,981721744,0.6705057623681819,1.4914114928230688,0.7162546514081639,1.3961514916992022,0.6928393968627429,1.4433359369113765,projected
IND,India,2080,337425842,499553524,343563873,476745102,680989715,976298626,0.6754548327438082,1.4804838925170407,0.7206447880821647,1.3876461975965675,0.6975219434550346,1.4336466535327925,projected
IND,India,2081,337891927,496576367,343796997,474160231,681688924,970736598,0.6804430284133921,1.469630752675544,0.7250650192128828,1.379186657060882,0.7022388209164852,1.4240169728795535,projected
IND,India,2082,338310641,493525568,343983093,471480727,682293734,965006295,0.6854976984697985,1.4587941027843696,0.7295803906741664,1.3706508738207084,0.7070355266438961,1.414356085820363,projected
IND,India,2083,338511661,490642173,343965532,468936638,682477193,959578811,0.6899359240364362,1.449409959912725,0.7335010833595818,1.3633245031074799,0.7112257848719837,1.406023264721756,projected
IND,India,2084,338690488,487720508,343933932,466328613,682624420,954049121,0.6944356090107247,1.4400183213884648,0.7375355541393724,1.3558668384019756,0.7155023834459359,1.3976193834378208,projected
IND,India,2085,338582096,484998993,343632439,463890783,682214535,948889776,0.6981088639085071,1.4324413450379254,0.7407615145481345,1.3499621407977724,0.7189607815945106,1.3908964516565159,projected
IND,India,2086,338296245,482379827,343172293,461532585,681468538,943912412,0.7013067837100908,1.4259094924331779,0.743549435409853,1.3449004899705002,0.7219616241257774,1.3851151731380444,projected
IND,India,2087,338001761,479682819,342710560,459079021,680712321,938761840,0.7046359544513934,1.419172543896894,0.7465175804668277,1.3395531815535535,0.7251171617712966,1.3790874809213274,projected
IND,India,2088,337690059,476936346,342247203,456556039,679937262,933492385,0.7080401018545984,1.4123493815966908,0.7496280275902779,1.333994945752705,0.7283800842146131,1.3729095861788496,projected
IND,India,2089,337370115,474151093,341811571,453969645,679181686,928120738,0.7115244907808321,1.4054330004896847,0.7529392653555063,1.328128371055057,0.7317816079226537,1.3665279219557755,projected
IND,India,2090,337072179,471306188,341408305,451302526,678480484,922608714,0.7151872552965505,1.39823520706525,0.7564954444770823,1.3218850256147108,0.7353935354224284,1.359816141741816,projected
IND,India,2091,336768639,468391274.00000006,341020851,448547760,677789490,916939034,0.7189899933959915,1.39083994100769,0.7602776814669635,1.3153088988098267,0.7391870831839841,1.3528374923606443,projected
IND,India,2092,336404036,465466662,340603371,445767045,677007407,911233707,0.7227242323962613,1.3836536194232818,0.7640837850631151,1.3087569970057635,0.7429569404635731,1.3459730241917427,projected
IND,India,2093,336034964,462495490,340191407,442923268,676226371,905418758,0.7265691693555757,1.3763314522235253,0.7680594621639972,1.3019825277362165,0.7468658728627754,1.3389284961795729,projected
IND,India,2094,335660725,459477607,339788797,440020153,675449522,899497760,0.7305268415398533,1.368875095529869,0.7722118968491882,1.2949813439552569,0.7509185147943003,1.331702415506336,projected
IND,India,2095,335254799,456465750,339361631,437109441,674616430,893575191,0.734457730946955,1.3615487425133026,0.7763768044534184,1.288034359429396,0.7549632496455467,1.3245677858750045,projected
IND,India,2096,334870237,453414866.99999994,338968079,434149870,673838316,887564737,0.7385515151182726,1.3540016905115397,0.780762825058545,1.2807986854715012,0.7591990622313334,1.317177601696369,projected
IND,India,2097,334422949,450361518,338523732,431179187,672946681,881540705,0.7425655515265406,1.3466824550967043,0.7851114854483922,1.2737044592194202,0.7633756185994838,1.3099711015589361,projected
IND,India,2098,333929136,447320021,338048442,428215632,671977578,875535653,0.7465105971637249,1.3395657125289002,0.789435080688507,1.2667286069018475,0.7675045278824298,1.302923909464134,projected
