ISO3_code,Location,Time,n_male_dependent,n_male_working,n_female_dependent,n_female_working,n_total_dependent,n_total_working,r_male_dependent,r_male_working,r_female_dependent,r_female_working,r_total_dependent,r_total_working,time_period
AUS,Australia,2014,3879431,7786138,4000751,7803253,7880183,15589395,0.49824842559944355,2.007030927989182,0.5127029714402442,1.9504470535656928,0.5054835675149677,1.9783036764501536,observed
AUS,Australia,2015,3969455,7860305,4087846,7902641,8057303,15762938,0.5050001240409882,1.980197533414537,0.5172759334506022,1.9332041862633766,0.5111549001842169,1.9563541299117087,observed
AUS,Australia,2016,4062511,7945129,4179779.9999999995,8008278,8242290.000000001,15953415,0.5113209615602213,1.9557187660538027,0.5219324304176253,1.9159568206939124,0.516647376126052,1.9355561379179815,observed
AUS,Australia,2017,4154607,8044150,4272249,8119335,8426859,16163477,0.516475575418161,1.9361999823328655,0.5261821319110493,1.9004826263637724,0.5213518724962457,1.9180903584597773,observed
AUS,Australia,2018,4242338,8147801,4362756,8226332,8605088,16374139,0.5206727557533621,1.9205921357515598,0.530340375272965,1.8855814994008373,0.5255291896569341,1.902843875623352,observed
AUS,Australia,2019,4325350,8253573,4450865,8327385,8776216,16580952.000000002,0.5240578837795462,1.9081861583455673,0.5344853156182883,1.870958791156326,0.5292950609832294,1.88930536805384,observed
AUS,Australia,2020,4398025,8340182.000000001,4528819,8403021,8926841,16743212,0.5273296194255712,1.896347110350669,0.5389512890661585,1.8554552522412575,0.5331617971509888,1.8756032509148532,observed
AUS,Australia,2021,4460901,8406852,4596577,8456766,9057474,16863620,0.530626802993558,1.8845636789518532,0.5435383928087877,1.8397964398290292,0.5371014052736008,1.8618458082242355,observed
AUS,Australia,2022,4491302,8441083,4629415,8484456,9120717,16925539,0.5320765119831187,1.879428949556276,0.5456348645098754,1.8327274612451034,0.5388730604088886,1.8557246102471987,projected
AUS,Australia,2023,4550137,8514174,4696335,8547925,9246472,17062099,0.5344190757670678,1.871190691620934,0.5494122842678194,1.820126758419065,0.5419305092532871,1.8452550334873667,projected
AUS,Australia,2024,4609799,8585723,4764382,8609748,9374181,17195471,0.536914480003606,1.8624940046192904,0.5533706677593816,1.8071069868033252,0.5451540699292273,1.834343821609589,projected
AUS,Australia,2025,4669899,8655864,4833375,8670174,9503274,17326038,0.5395069746936875,1.8535441558800305,0.5574715109523753,1.7938136395375903,0.5484966614987222,1.823165153398713,projected
AUS,Australia,2026,4731733,8723044,4904468,8727550,9636201,17450594,0.5424405746434388,1.8435199112037808,0.5619524379694187,1.7795100304457079,0.5521990254314553,1.8109412620180918,projected
AUS,Australia,2027,4794608,8787492,4976530,8782642,9771138,17570134,0.5456173388265958,1.8327863299773413,0.566632455245244,1.7648124295442809,0.556121996565308,1.798166600451247,projected
AUS,Australia,2028,4855244,8852588,5046892,8838345,9902136,17690933,0.5484547569592079,1.8233044518462924,0.5710222898065193,1.7512451227408867,0.559729438803482,1.786577461670896,projected
AUS,Australia,2029,4913671,8917892,5115456,8893922,10029127,17811814,0.5509901891612952,1.8149143481523284,0.5751631282577022,1.7386371811232468,0.5630603935118569,1.776008420274267,projected
AUS,Australia,2030,4966806,8985638,5179164,8951950,10145970,17937588,0.5527493985402038,1.8091381060585014,0.5785514887817738,1.7284546309018214,0.5656262146281874,1.7679520045890142,projected
AUS,Australia,2031,5012661,9058109,5236294,9014206,10248955,18072315,0.5533893442880848,1.8070459981235516,0.5808935362693064,1.7214858447596717,0.5671080323688471,1.7633324568212074,projected
AUS,Australia,2032,5057416,9129034,5293380,9074130,10350796,18203164,0.5539924596622162,1.8050787200420135,0.5833484863011661,1.714241184271675,0.5686262014669538,1.758624554092265,projected
AUS,Australia,2033,5105522,9193635,5354516,9127219.000000002,10460038,18320854,0.5553322488874096,1.8007238045394771,0.5866536126721621,1.7045833834467954,0.5709361583253707,1.7515093157405355,projected
AUS,Australia,2034,5156428,9253279,5419261,9174433,10575689,18427712,0.557254136614707,1.794513372435337,0.59069165364224685,1.6929306412811636,0.5739013611673549,1.7424597111356053,projected
